size;num_tests;p;c
5;100;0.15;0.80319977
5;100;0.16;0.7727997
5;100;0.17;0.7583999
5;100;0.18;0.7855999
5;100;0.19;0.7195999
5;100;0.2;0.7735998
5;100;0.21;0.78599966
5;100;0.22;0.70239997
5;100;0.23;0.7195999
5;100;0.24;0.726
5;100;0.25;0.742
5;100;0.26;0.7743997
5;100;0.27;0.7256
5;100;0.28;0.69439995
5;100;0.29;0.73759997
5;100;0.3;0.71159995
5;100;0.31;0.7103999
5;100;0.32;0.7527999
5;100;0.33;0.76
5;100;0.34;0.7232
5;100;0.35;0.76719993
5;100;0.36;0.8007998
5;100;0.37;0.7364
5;100;0.38;0.7783998
5;100;0.39;0.7463998
5;100;0.4;0.7968
5;100;0.41;0.8239999
5;100;0.42;0.80120003
5;100;0.43;0.8403999
5;100;0.44;0.87039983
5;100;0.45;0.86759996
5;100;0.46;0.89799994
5;100;0.47;0.8383999
5;100;0.48;0.8827997
5;100;0.49;0.9427999
5;100;0.5;0.9188
5;100;0.51;0.9711998
5;100;0.52;0.9396
5;100;0.53;0.9563999
5;100;0.54;0.9343997
5;100;0.55;0.9539999
5;100;0.56;0.98519987
5;100;0.57;0.95479995
5;100;0.58;0.97599983
5;100;0.59;0.9743999
5;100;0.6;0.98079985
5;100;0.61;0.9759998
5;100;0.62;0.97719985
5;100;0.63;0.98879987
5;100;0.64;0.9763999
5;100;0.65;0.9828
5;100;0.66;0.9864
5;100;0.67;0.98159987
5;100;0.68;0.9936
5;100;0.69;0.9984
5;100;0.7;0.9936
5;100;0.71;0.9828
5;100;0.72;0.992
5;100;0.73;0.9952
5;100;0.74;0.9984
5;100;0.75;0.9936
5;100;0.76;0.99520004
5;100;0.77;0.9984
5;100;0.78;0.9984
5;100;0.79;0.9984
5;100;0.8;0.99679995
5;100;0.81;1.0
5;100;0.82;1.0
5;100;0.83;0.9984
5;100;0.84;1.0
5;100;0.85;1.0
5;100;0.86;0.9984
5;100;0.87;0.9951999
5;100;0.88;0.9984
5;100;0.89;0.9968
5;100;0.9;0.99679995
5;100;0.91;0.9984
5;100;0.92;0.99679995
5;100;0.93;1.0
5;100;0.94;1.0
5;100;0.95;1.0
5;100;0.96;1.0
5;100;0.97;1.0
5;100;0.98;1.0
5;100;0.99;1.0
5;100;1.0;1.0
6;100;0.0;1.0
6;100;0.01;0.99777776
6;100;0.02;0.9830554
6;100;0.03;0.9649997
6;100;0.04;0.954722
6;100;0.05;0.9288888
6;100;0.06;0.91194427
6;100;0.07;0.92444426
6;100;0.08;0.8274999
6;100;0.09;0.84499985
6;100;0.1;0.8524998
6;100;0.11;0.8013888
6;100;0.12;0.76166654
6;100;0.13;0.74388885
6;100;0.14;0.7386112
6;100;0.15;0.7066667
6;100;0.16;0.6722224
6;100;0.17;0.63750005
6;100;0.18;0.66277796
6;100;0.19;0.67833334
6;100;0.2;0.6758333
6;100;0.21;0.62500006
6;100;0.22;0.68583345
6;100;0.23;0.65055555
6;100;0.24;0.5800001
6;100;0.25;0.5975001
6;100;0.26;0.5852779
6;100;0.27;0.5905556
6;100;0.28;0.601389
6;100;0.29;0.6363889
6;100;0.3;0.5616667
6;100;0.31;0.6261112
6;100;0.32;0.6822221
6;100;0.33;0.6813889
6;100;0.34;0.7022222
6;100;0.35;0.7111111
6;100;0.36;0.66972244
6;100;0.37;0.7413891
6;100;0.38;0.7519445
6;100;0.39;0.75166667
6;100;0.4;0.7824999
6;100;0.41;0.77666664
6;100;0.42;0.7752778
6;100;0.43;0.8011109
6;100;0.44;0.8852776
6;100;0.45;0.82805556
6;100;0.46;0.8530555
6;100;0.47;0.88472223
6;100;0.48;0.8488889
6;100;0.49;0.90138876
6;100;0.5;0.8980555
6;100;0.51;0.92194444
6;100;0.52;0.9083331
6;100;0.53;0.9263888
6;100;0.54;0.9427777
6;100;0.55;0.9741666
6;100;0.56;0.9394444
6;100;0.57;0.973611
6;100;0.58;0.9724999
6;100;0.59;0.9555555
6;100;0.6;0.95888895
6;100;0.61;0.98722214
6;100;0.62;0.9769443
6;100;0.63;0.98111117
6;100;0.64;0.9955556
6;100;0.65;0.9905555
6;100;0.66;0.99361116
6;100;0.67;0.9933333
6;100;0.68;0.9933333
6;100;0.69;0.99888885
6;100;0.7;0.99277776
6;100;0.71;0.9933333
6;100;0.72;1.0
6;100;0.73;0.9977777
6;100;0.74;0.9977777
6;100;0.75;0.99888885
6;100;0.76;0.9977777
6;100;0.77;0.99666667
6;100;0.78;0.99888885
6;100;0.79;0.99888885
6;100;0.8;1.0
6;100;0.81;0.99888885
6;100;0.82;1.0
6;100;0.83;1.0
6;100;0.84;1.0
6;100;0.85;1.0
6;100;0.86;0.9977777
6;100;0.87;0.99888885
6;100;0.88;1.0
6;100;0.89;1.0
6;100;0.9;1.0
6;100;0.91;1.0
6;100;0.92;1.0
6;100;0.93;1.0
6;100;0.94;1.0
6;100;0.95;0.99888885
6;100;0.96;1.0
6;100;0.97;1.0
6;100;0.98;1.0
6;100;0.99;1.0
6;100;1.0;1.0
7;100;0.0;1.0
7;100;0.01;0.99591833
7;100;0.02;0.9812243
7;100;0.03;0.9659182
7;100;0.04;0.9444894
7;100;0.05;0.8940813
7;100;0.06;0.9122445
7;100;0.07;0.83102036
7;100;0.08;0.8304078
7;100;0.09;0.803061
7;100;0.1;0.7444896
7;100;0.11;0.7646935
7;100;0.12;0.675306
7;100;0.13;0.71959186
7;100;0.14;0.6540813
7;100;0.15;0.59122443
7;100;0.16;0.60857123
7;100;0.17;0.61612225
7;100;0.18;0.5581632
7;100;0.19;0.5712244
7;100;0.2;0.51530606
7;100;0.21;0.50408155
7;100;0.22;0.5508163
7;100;0.23;0.4906122
7;100;0.24;0.51387733
7;100;0.25;0.5275509
7;100;0.26;0.5057143
7;100;0.27;0.5248978
7;100;0.28;0.60183656
7;100;0.29;0.5165306
7;100;0.3;0.49938765
7;100;0.31;0.55163246
7;100;0.32;0.54959166
7;100;0.33;0.60999995
7;100;0.34;0.63897943
7;100;0.35;0.6116326
7;100;0.36;0.61836725
7;100;0.37;0.62571424
7;100;0.38;0.7134693
7;100;0.39;0.7389796
7;100;0.4;0.71795917
7;100;0.41;0.76306117
7;100;0.42;0.76367325
7;100;0.43;0.7675509
7;100;0.44;0.8365304
7;100;0.45;0.8177548
7;100;0.46;0.8155101
7;100;0.47;0.87081605
7;100;0.48;0.89224464
7;100;0.49;0.92775476
7;100;0.5;0.9155101
7;100;0.51;0.9581631
7;100;0.52;0.9279589
7;100;0.53;0.9546936
7;100;0.54;0.9585713
7;100;0.55;0.9748976
7;100;0.56;0.9689796
7;100;0.57;0.97183657
7;100;0.58;0.9644896
7;100;0.59;0.97285706
7;100;0.6;0.99346924
7;100;0.61;0.9902039
7;100;0.62;0.99142843
7;100;0.63;0.9959183
7;100;0.64;0.9908162
7;100;0.65;0.992449
7;100;0.66;0.99346924
7;100;0.67;0.9967346
7;100;0.68;0.99755096
7;100;0.69;0.9983673
7;100;0.7;0.995102
7;100;0.71;0.99755096
7;100;0.72;0.9953062
7;100;0.73;0.99918365
7;100;0.74;0.9983673
7;100;0.75;1.0
7;100;0.76;0.99918365
7;100;0.77;1.0
7;100;0.78;1.0
7;100;0.79;0.99918365
7;100;0.8;1.0
7;100;0.81;0.99918365
7;100;0.82;1.0
7;100;0.83;1.0
7;100;0.84;1.0
7;100;0.85;1.0
7;100;0.86;1.0
7;100;0.87;1.0
7;100;0.88;0.99918365
7;100;0.89;1.0
7;100;0.9;1.0
7;100;0.91;1.0
7;100;0.92;1.0
7;100;0.93;1.0
7;100;0.94;1.0
7;100;0.95;0.99918365
7;100;0.96;1.0
7;100;0.97;1.0
7;100;0.98;1.0
7;100;0.99;1.0
7;100;1.0;1.0
8;100;0.0;1.0
8;100;0.01;0.99046874
8;100;0.02;0.96515626
8;100;0.03;0.94625
8;100;0.04;0.91515625
8;100;0.05;0.8840625
8;100;0.06;0.85265625
8;100;0.07;0.82671875
8;100;0.08;0.78046876
8;100;0.09;0.75953126
8;100;0.1;0.71296877
8;100;0.11;0.659375
8;100;0.12;0.63
8;100;0.13;0.54484373
8;100;0.14;0.5546875
8;100;0.15;0.5090625
8;100;0.16;0.54578125
8;100;0.17;0.4603125
8;100;0.18;0.46640626
8;100;0.19;0.481875
8;100;0.2;0.44078124
8;100;0.21;0.40484375
8;100;0.22;0.393125
8;100;0.23;0.36203125
8;100;0.24;0.3596875
8;100;0.25;0.409375
8;100;0.26;0.375
8;100;0.27;0.35828125
8;100;0.28;0.39125
8;100;0.29;0.4115625
8;100;0.3;0.43359375
8;100;0.31;0.41703126
8;100;0.32;0.4690625
8;100;0.33;0.4771875
8;100;0.34;0.5178125
8;100;0.35;0.5171875
8;100;0.36;0.49953124
8;100;0.37;0.5321875
8;100;0.38;0.5921875
8;100;0.39;0.62890625
8;100;0.4;0.6117188
8;100;0.41;0.7328125
8;100;0.42;0.7314063
8;100;0.43;0.69890624
8;100;0.44;0.8028125
8;100;0.45;0.83546877
8;100;0.46;0.81703126
8;100;0.47;0.9125
8;100;0.48;0.8957813
8;100;0.49;0.85765624
8;100;0.5;0.92265624
8;100;0.51;0.930625
8;100;0.52;0.93
8;100;0.53;0.95921874
8;100;0.54;0.9610937
8;100;0.55;0.9767187
8;100;0.56;0.97828126
8;100;0.57;0.97796875
8;100;0.58;0.9784375
8;100;0.59;0.975625
8;100;0.6;0.9873437
8;100;0.61;0.98125
8;100;0.62;0.9940625
8;100;0.63;0.98890626
8;100;0.64;0.97703123
